model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,global_in_51_trigger,,33,12.195149368946304,0.40142729705619984,36,8968
global,global_in_74_trigger,,33,11.598123587847393,0.4683318465655665,42,8968
41,41_trigger,,34,10.765590872751826,1.8621766280107046,167,8968
global,combine,,34,11.716951270703223,0.4683318465655665,42,8968
global,global_in_41_trigger,,34,12.19609900312058,0.40142729705619984,36,8968
global,global_in_73_trigger,,34,12.149425886870494,0.44603033006244425,40,8968
global,global_in_51_trigger,,34,12.164573848938751,0.40142729705619984,36,8968
global,global_in_74_trigger,,34,11.568569778864347,0.47948260481712757,43,8968
global,combine,,35,11.680770089645454,0.4683318465655665,42,8968
global,global_in_41_trigger,,35,12.157056691920937,0.412578055307761,37,8968
global,global_in_73_trigger,,35,12.110652567125877,0.4348795718108831,39,8968
global,global_in_51_trigger,,35,12.125586857655344,0.412578055307761,37,8968
global,global_in_74_trigger,,35,11.533158414604193,0.4683318465655665,42,8968
global,combine,,36,11.675177544381977,0.44603033006244425,40,8968
global,global_in_41_trigger,,36,12.150204849923753,0.40142729705619984,36,8968
global,global_in_73_trigger,,36,12.103880803995532,0.423728813559322,38,8968
global,global_in_51_trigger,,36,12.118858328044254,0.40142729705619984,36,8968
global,global_in_74_trigger,,36,11.527973928800339,0.4348795718108831,39,8968
global,combine,,37,11.644064812230596,0.45718108831400533,41,8968
global,global_in_41_trigger,,37,12.118654334470696,0.40142729705619984,36,8968
global,global_in_73_trigger,,37,12.07241588783094,0.4348795718108831,39,8968
global,global_in_51_trigger,,37,12.087212137193365,0.40142729705619984,36,8968
global,global_in_74_trigger,,37,11.497061321928925,0.4348795718108831,39,8968
global,combine,,38,11.659123359462388,0.44603033006244425,40,8968
global,global_in_41_trigger,,38,12.133344449495015,0.40142729705619984,36,8968
global,global_in_73_trigger,,38,12.087127850589532,0.412578055307761,37,8968
global,global_in_51_trigger,,38,12.10200642390936,0.3902765388046387,35,8968
global,global_in_74_trigger,,38,11.51213630706896,0.4348795718108831,39,8968
global,combine,,39,11.622519592639062,0.44603033006244425,40,8968
global,global_in_41_trigger,,39,12.094494384915354,0.3902765388046387,35,8968
global,global_in_73_trigger,,39,12.048307361823975,0.412578055307761,37,8968
global,global_in_51_trigger,,39,12.06325839057126,0.3902765388046387,35,8968
global,global_in_74_trigger,,39,11.47647799730939,0.4348795718108831,39,8968
global,combine,,40,11.599132769241809,0.45718108831400533,41,8968
global,global_in_41_trigger,,40,12.069426660767418,0.3902765388046387,35,8968
global,global_in_73_trigger,,40,12.023396882491916,0.412578055307761,37,8968
global,global_in_51_trigger,,40,12.038324550897494,0.3902765388046387,35,8968
global,global_in_74_trigger,,40,11.453459997457866,0.4348795718108831,39,8968
74,74_trigger,,41,10.624184031660912,1.4942016057091883,134,8968
global,combine,,41,11.586198075130303,0.44603033006244425,40,8968
global,global_in_41_trigger,,41,12.055684651145969,0.3791257805530776,34,8968
global,global_in_73_trigger,,41,12.009847016551472,0.40142729705619984,36,8968
global,global_in_51_trigger,,41,12.024557769564408,0.3791257805530776,34,8968
global,global_in_74_trigger,,41,11.440498675330211,0.4348795718108831,39,8968
global,combine,,42,11.548975802446241,0.45718108831400533,41,8968
global,global_in_41_trigger,,42,12.019245204704346,0.3902765388046387,35,8968
global,global_in_73_trigger,,42,11.973224823651412,0.40142729705619984,36,8968
global,global_in_51_trigger,,42,11.987974782802503,0.3902765388046387,35,8968
global,global_in_74_trigger,,42,11.403776812829895,0.4348795718108831,39,8968
73,73_trigger,,43,12.940477843373934,0.05575379125780553,5,8968
global,combine,,43,11.535159339020021,0.423728813559322,38,8968
global,global_in_41_trigger,,43,12.004701781124009,0.3791257805530776,34,8968
